model,accuracy
Nearest Neighbors,0.7774390243902439
Linear SVM,0.3262195121951219
RBF SVM,0.6951219512195121
Gaussian Process,0.2225609756097561
Decision Tree,0.600609756097561
Random Forest,0.6189024390243902
Neural Net,0.6585365853658537
AdaBoost,0.4146341463414634
Naive Bayes,0.4451219512195122
QDA,0.6341463414634146
